"1,2-Dichloroethane","1,2-Dimethylbenzene :- {o-Xylene}",Active Aluminium : Dissolved,Alkalinity to pH 4.5 : Grans Plot,Alkalinity to pH 4.5 as CaCO3,Aluminium,"Aluminium, Dissolved",Ammonia un-ionised as N,Ammoniacal Nitrogen : Load,Ammoniacal Nitrogen as N,"Ammoniacal Nitrogen, Filtered as N",Anthracene,Arsenic,"Arsenic, Dissolved",BOD : 5 Day ATU,BOD : 5 Day ATU : Load,Barium,"Barium, Dissolved",Benzene,Benzo(a)Pyrene,Bicarbonate as HCO3,Boron,"Boron, Dissolved",CHLOROPHYLL,Cadmium,"Cadmium, Dissolved",Calcium,"Calcium, Dissolved","Carbon, Organic, Dissolved as C :- {DOC}",Chemical Oxygen Demand :- {COD},Chloride,Chlorine : Total Available,Chlorine : Total Available : Filtered,Chlorine Free as Cl2,Chloroform : Load :- {Trichloromethane},Chloroform :- {Trichloromethane},Chromium,Chromium : Load,"Chromium Hexavalent, Dissolved :- {Cr VI}","Chromium, Dissolved","Colour, Filtered",Conductivity at 25 C,Copper,Copper : BLM Bioavailable,Copper : Load,"Copper, Dissolved",Cyanide : Free as CN,Cypermethrin,Cypermethrin Identification,Deltamethrin,Descriptive Site Inspection : Pass/Fail 1/0,"Detergents, Anionic","Dimethylbenzene : Sum of (1,2- 1,3- 1,4-) :- {Xylene}","Dimethylbenzene : Sum of isomers (1,3- 1,4-)",Enterococci: Intestinal: Confirmed: MF,Enterococci: Intestinal: Presumptive: MF,Escherichia coli : Confirmed : MF,Flow : Daily total,"Flow, instantaneous",Fluoranthene,Fluoride,GCMS Screen : Semi-Volatile Screen: Semi Quantitative,HCH -gamma :- {Lindane},"Hardness, Total as CaCO3",Ionic Balance,Ionic Balance: Dissolved,Iron,"Iron, Dissolved",LCMS Screen : Semi Quantitative,Lead,Lead : BLM Bioavailable,"Lead, Dissolved",Lithium,"Lithium, Dissolved",MST Filtration,Magnesium,"Magnesium, Dissolved",Manganese,Manganese : BLM Bioavailable,"Manganese, Dissolved",Mercury,"Mercury, Dissolved",Nickel,Nickel : BLM Bioavailable,"Nickel, Dissolved",Nitrate as N,"Nitrate, Filtered as N",Nitrite as N,"Nitrite, Filtered as N","Nitrogen, Dissolved Inorganic : as N","Nitrogen, Kjeldahl as N","Nitrogen, Organic as N","Nitrogen, Total Oxidised as N","Nitrogen, Total Oxidised, Filtered as N","Nitrogen, Total as N",No flow /No sample,"Oils, Grease and Fats","Orthophosphate, Filtered as P","Orthophosphate, reactive as P","Oxygen, Dissolved as O2","Oxygen, Dissolved, % Saturation",PCB - 028,PCB - 052,PCB - 101,PCB - 118,PCB - 138,PCB - 153,PCB - 180,PCB : Total,Phenol,Phosphate :- {TIP},"Phosphorus, Total as P",Phytoplankton,Population Equivalent - Calculated,Potassium,"Potassium, Dissolved",Rotenone,Salinity : In Situ,Sample Depth below surface,Sampling Frequency,"Silica, reactive as SiO2","Silicate, Filtered as SiO2",Sodium,"Sodium, Dissolved","Solids, Suspended at 105 C",Strontium,"Strontium, Filtered",Sulphate as SO4,"Sulphate, Dissolved as SO4",Temperature of Water,Time of high tide,Time of sampling relative to previous high water,Toluene :- {Methylbenzene},Turbidity,Turbidity : In Situ,"Visible oil or grease, significant trace: Present/Not found (1/0)",Volume of Sample Filtered,Water Depth,Zinc,Zinc : BLM Bioavailable,Zinc : Load,"Zinc, Dissolved",cis-Permethrin,pH,pH : In Situ,trans-Permethrin
,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,950,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,,,,,,,
,,,,,,,0.0392,,7.6,,,,,3,,,,,,,,,,,,,,,17,240,,,,,,,,,,,1678,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,,,,,1.4,,,,,,0.011,,42.3,,,,,,,,,,,,,,,,,0.85,,,,,,,19,,,,,7.09,,,,,,,,,,,,,,7.54,,
,,,,,,,0.00623,,0.77,,,,,3,,,,,,,,,,,,,,,15,160,,,,,,,,,,,1090,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,11,,,,,,0.14,,84.6,,,,,,,,,,,,,,,,,0.54,,,,,,,13,,,,,7,,,,,,,,,,,,,,7.74,,
,,,,,,,0.00408,,0.42,,,,,3,,,,,,,,,,,,,,,14,170,,,,,,,,,,,1106,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,12,,,,,,0.16,,87.5,,,,,,,,,,,,,,,,,0.55,,,,,,,15,,,,,7.3,,,,,,,,,,,,,,7.81,,
,,,,,,,0.00074,,5.6,,,,,6,,,,,,,,,,,,,,,39,74,,,,,,,,,,,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,32,,,,,,0.53,,96.3,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,8.8,,,,17,,,,,,,,,,5.89,,
,,,,,,,0.00217,,4.6,,,,,5,,,,,,,,,,,,,,,38,79,,,,,,,,,,,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,26,,,,,,0.5,,97.5,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,8.6,,,,13,,,,,,,,,,6.45,,
,,,,,,,3.00E-05,,0.03,,,,,3,,,,,,,,,,,,,,,10,97,,,,,,,,,,,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,0.43,,,,,,0.01,,98.7,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,5.6,,,,9.9,,,,,,,,,,6.87,,
,,,,,,,0.00114,,0.093,,,,,7.8,,,,,,,,,,,,,,,,59,,,,,,,,,,,1842,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,0.081,,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,2,,0,,,,,,,,7.89,,
,,,,,,,0.00129,,0.089,,,,,9,,,,,,,,,,,,,,,,60,,,,,,,,,,,1843,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,0.074,,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,1,,,,,,,,,,7.98,,
,,,,,,,0.00068,,0.11,,,,,7.6,,,,,,,,,,,,,,,,61,,,,,,,,,,,1883,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,0.1,,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,3.1,,,,,,,,,,7.56,,
,,,,,,,,,1.2,,,,,960,,,,,,,,,,,,,,,,8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,
,,,,,,,,,61,,,,,230,,,,,,,,,,,,,,,470,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,110,,,,,840,,,,,,,,,,,,,,,1800,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.00043,,0.03,,,,,3,,,,,,,,,,,,,,,11,140,,,,,,,,,,,1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,,,,5.7,,,,,,0.024,,99.8,,,,,,,,,,,,,,,,,0.81,,,,,,,7.2,,,,,6.6,,,,,,,,,,,,,,8.28,,
,,,,,,,0.252,,19,,,,,150,,,,,,,,,,,,,,,250,87,,,,,,,,,,,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,0.2,,,,,,2.2,,77.1,,,,,,,,,,,,,,,,,0.42,,,,,,,98,,,,,10.3,,,,,,,,,,,,,,7.85,,
,,,,,,,0.17,,16,,,,,84,,,,,,,,,,,,,,,190,95,,,,,,,,,,,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,0.2,,,,,,1.8,,64.1,,,,,,,,,,,,,,,,,0.4,,,,,,,430,,,,,10.7,,,,,,,,,,,,,,7.74,,
,,,,,,,0.00042,,0.03,,,,,3,,,,,,,,,,,,,,,13,59,,,,,,,,,,,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0073,,,,,3.1,,,,,,0.037,,100,,,,,,,,,,,,,,,,,0.42,,,,,,,11,,,,,6.5,,,,,,,,,,,,,,8.13,,
,,,,,,,0.0428,,2.9,,,,,17,,,,,,,,,,,,,,,51,91,,,,,,,,,,,1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084,,,,,3.4,,,,,,0.31,,95.4,,,,,,,,,,,,,,,,,0.53,,,,,,,71,,,,,7.1,,,,,,,,,,,,,,8.1,,
,,,,,,,0.0424,,2.9,,,,,15,,,,,,,,,,,,,,,52,88,,,,,,,,,,,1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057,,,,,3.5,,,,,,0.27,,94.7,,,,,,,,,,,,,,,,,0.54,,,,,,,45,,,,,7,,,,,,,,,,,,,,8.1,,
,,,,,,,0.611,,33,,,,,110,,,,,,,,,,,,,,,390,100,,,,,,,,,,,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,0.29,,,,,,3.6,,84,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,10.2,,,,,,,,,,,,,,8,,
,,,,,,,0.0006,,0.046,,,,,3,,,,,,,,,,,,,,,10,190,,,,,,,,,,,2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,,,5,,,,,,0.017,,104,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,5.5,,,,,,,,,,,,,,8.3,,
,,,,,,,0.18,,12,,,,,45,,,,,,,,,,,,,,,180,150,,,,,,,,,,,1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,3.4,,,,,,1.3,,96,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,7.3,,,,,,,,,,,,,,8.2,,
,,,,,,,0.00039,,0.03,,,,,3,,,,,,,,,,,,,,,18,70,,,,,,,,,,,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0078,,,,,2.9,,,,,,0.037,,104.8,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,5.4,,,,,,,,,,,,,,8.21,,
,,,,,,,0.0681,,4.9,,,,,21,,,,,,,,,,,,,,,58,110,,,,,,,,,,,1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,,,,,3.3,,,,,,0.59,,98.8,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,6.3,,,,,,,,,,,,,,8.2,,
,,,,,,,0.0428,,3.1,,,,,15,,,,,,,,,,,,,,,47,100,,,,,,,,,,,1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,,,,,3.1,,,,,,0.4,,101.8,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,6.2,,,,,,,,,,,,,,8.2,,
,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000,410000,970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,,,,,,,,,,,,,,,,,7.01,,,,,,,,,,,,5.4,,,,,,,,,,,,,,8.12,,
,,,,,,,0.00103,,0.081,,,,,3,,,,,,,,,,,,,,,10,220,,,,,,,,,,,2439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,,,4.4,,,,,,0.01,,102.4,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,5.1,,,,,,,,,,,,,,8.36,,
,,,,,,,0.461,,28,,,,,100,,,,,,,,,,,,,,,210,150,,,,,,,,,,,1508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,,,,0.2,,,,,,3.2,,97.9,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,8.6,,,,,,,,,,,,,,8.2,,
,,,,,,,0.26,,17,,,,,110,,,,,,,,,,,,,,,240,170,,,,,,,,,,,1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,1.6,,,,,,1.9,,92.3,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,7.6,,,,,,,,,,,,,,8.24,,
,,,,,,,0.00038,,0.03,,,,,3,,,,,,,,,,,,,,,12,60,,,,,,,,,,,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0051,,,,,2.6,,,,,,0.025,,104.7,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,5.2,,,,,,,,,,,,,,8.23,,
,,,,,,,0.134,,9.5,,,,,52,,,,,,,,,,,,,,,97,120,,,,,,,,,,,1467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,,,,,2.6,,,,,,0.99,,97,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,6.5,,,,,,,,,,,,,,8.23,,
,,,,,,,0.0959,,7,,,,,46,,,,,,,,,,,,,,,80,110,,,,,,,,,,,1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083,,,,,2.6,,,,,,0.76,,98.2,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,6.1,,,,,,,,,,,,,,8.22,,
,,,,,,,,,0.5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,210,,,0.00112,,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06,,0.039,,,,,5.1,,,,,,0.06,11.9,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,8.5,,
,,,,170,,,0.00044,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,,0.014,,,,,4.5,,,,,,0.043,12,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,8.04,,
,,,,230,,,0.00047,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.79,,0.013,,,,,6.8,,,,,,0.021,11.6,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,8.1,,
,,,,,,,,,0.79,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.3,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.27,,21,9.2,,,,,,,,,,,,,195,2.1,,,2.4,,,,,,,,,,,,,,,,,,,,,,370,,4.3,,3.6,,,,,3.2,,,,,,1.7,,1.7,,,,,,,,,,,,,,,,100.5,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1.9,,,,,,,,,150,,,140,,8.02,,
,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,,21,8.7,,,,,,,,,,,,,180,1,,,1.1,,,,,,,,,,,,,,,,,,,,,,400,,2.8,,3.8,,,,,3.3,,,,,,1.4,,1.5,,,,,,,,,,,,,,,,105.6,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,5.5,,,,,,,,,130,,,140,,8.2,,
,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.24,,27,4.5,,,,,,,,,,,,,216,1.1,,,1,,,,,,,,,,,,,,,,,,,,,,280,,3.3,,15,,,,,4.1,,,,,,1.1,,1.2,,,,,,,,,,,,,,,,103.6,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,7.4,,,,,,,,,95,,,100,,8.15,,
,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.29,,12,13,,,,,,,,,,,,,108,1.6,,,1.5,,,,,,,,,,,,,,,,,,,,,,500,,9.1,,6,,,,,1.8,,,,,,1.8,,1.6,,,,,,,,,,,,,,,,101.9,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,3.7,,,,,,,,,140,,,130,,7.68,,
,,,,,,,,,0.21,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
,,,,130,,,0.00107,,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,,0.013,,,,,2.4,,,,,,0.057,12.7,99.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,8.27,,
,,,,160,,,0.00094,,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,0.019,,,,,2.3,,,,,,0.093,13.4,103.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,8.29,,
,,,,140,,,0.00043,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,,0.0095,,,,,2.3,,,,,,0.052,12.2,95.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,8.08,,
,,,,150,,,0.00534,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,,0.024,,,,,1.9,,,,,,0.14,12.7,102.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,8.45,,
,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,166.42,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
